,content,lower_case,clean_1,clean_2,normalized,tokens,stopword,stemming,sentimen
105,"Nama namah heronya gak jelas nama cina,coba cari nama yg global yg mudah di sebutin, ya oke lah buat bebepara Hero sejarah dan mitologi cina dengan nama cina nya. Lah ini banyak Hero yg bukan siapa siapa di cina dibikin Hero dengan nama cina 🥱","nama namah heronya gak jelas nama cina,coba cari nama yg global yg mudah di sebutin, ya oke lah buat bebepara hero sejarah dan mitologi cina dengan nama cina nya. lah ini banyak hero yg bukan siapa siapa di cina dibikin hero dengan nama cina 🥱",nama namah heronya gak jelas nama cinacoba cari nama yg global yg mudah di sebutin ya oke lah buat bebepara hero sejarah dan mitologi cina dengan nama cina nya lah ini banyak hero yg bukan siapa siapa di cina dibikin hero dengan nama cina ,nama namah heronya gak jelas nama cinacoba cari nama yg global yg mudah di sebutin ya oke lah buat bebepara hero sejarah dan mitologi cina dengan nama cina nya lah ini banyak hero yg bukan siapa siapa di cina dibikin hero dengan nama cina ,nama nama heronya tidak jelas nama china coba cari nama yang global yang mudah di sebutin ya oke lah buat beberapa hero sejarah dan mitologi china dengan nama china nya lah ini banyak hero yang bukan siapa siapa di china dibikin hero dengan nama china,"['nama', 'nama', 'heronya', 'tidak', 'jelas', 'nama', 'china', 'coba', 'cari', 'nama', 'yang', 'global', 'yang', 'mudah', 'di', 'sebutin', 'ya', 'oke', 'lah', 'buat', 'beberapa', 'hero', 'sejarah', 'dan', 'mitologi', 'china', 'dengan', 'nama', 'china', 'nya', 'lah', 'ini', 'banyak', 'hero', 'yang', 'bukan', 'siapa', 'siapa', 'di', 'china', 'dibikin', 'hero', 'dengan', 'nama', 'china']","['nama', 'nama', 'heronya', 'tidak', 'jelas', 'nama', 'china', 'coba', 'cari', 'nama', 'global', 'mudah', 'sebutin', 'ya', 'oke', 'buat', 'hero', 'sejarah', 'mitologi', 'china', 'nama', 'china', 'banyak', 'hero', 'china', 'dibikin', 'hero', 'nama', 'china']","['nama', 'nama', 'hero', 'tidak', 'jelas', 'nama', 'china', 'coba', 'cari', 'nama', 'global', 'mudah', 'sebutin', 'ya', 'oke', 'buat', 'hero', 'sejarah', 'mitologi', 'china', 'nama', 'china', 'banyak', 'hero', 'china', 'bikin', 'hero', 'nama', 'china']",2.0
107,Game sangat bagus saya sangat suka dengan game ini apa lagi dengan skin-skinnya,game sangat bagus saya sangat suka dengan game ini apa lagi dengan skin-skinnya,game sangat bagus saya sangat suka dengan game ini apa lagi dengan skinskinnya,game sangat bagus saya sangat suka dengan game ini apa lagi dengan skinskinya,game sangat bagus saya sangat suka dengan game ini apa lagi dengan skinskinya,"['game', 'sangat', 'bagus', 'saya', 'sangat', 'suka', 'dengan', 'game', 'ini', 'apa', 'lagi', 'dengan', 'skinskinya']","['game', 'sangat', 'bagus', 'sangat', 'suka', 'game', 'skinskinya']","['game', 'sangat', 'bagus', 'sangat', 'suka', 'game', 'skinskinya']",1.0
108,"game amati tiru plek ketiplek aja bangga, minimal kalo bikin game yang kreatif dikit blok","game amati tiru plek ketiplek aja bangga, minimal kalo bikin game yang kreatif dikit blok",game amati tiru plek ketiplek aja bangga minimal kalo bikin game yang kreatif dikit blok,game amati tiru plek ketiplek aja banga minimal kalo bikin game yang kreatif dikit blok,game amati tiru plek ketiplek saja bangga minimal kalau membuat game yang kreatif dikit goblok,"['game', 'amati', 'tiru', 'plek', 'ketiplek', 'saja', 'bangga', 'minimal', 'kalau', 'membuat', 'game', 'yang', 'kreatif', 'dikit', 'goblok']","['game', 'amati', 'tiru', 'plek', 'ketiplek', 'bangga', 'minimal', 'game', 'kreatif', 'dikit', 'goblok']","['game', 'amat', 'tiru', 'plek', 'ketiplek', 'bangga', 'minimal', 'game', 'kreatif', 'dikit', 'goblok']",2.0
110,Mantp,mantp,mantp,mantp,mantap,['mantap'],['mantap'],['mantap'],1.0
111,Wow!!! belum sebulan rilis sudah jadi TOP 1 terpopuler.,wow!!! belum sebulan rilis sudah jadi top 1 terpopuler.,wow belum sebulan rilis sudah jadi top  terpopuler,wow belum sebulan rilis sudah jadi top terpopuler,luar biasa belum sebulan rilis sudah jadi top terpopuler,"['luar', 'biasa', 'belum', 'sebulan', 'rilis', 'sudah', 'jadi', 'top', 'terpopuler']","['luar', 'sebulan', 'rilis', 'top', 'terpopuler']","['luar', 'bulan', 'rilis', 'top', 'populer']",1.0
112,Game nya sangat keren dan bagus semoga kedepannya lebih bagus lagi hehehehe,game nya sangat keren dan bagus semoga kedepannya lebih bagus lagi hehehehe,game nya sangat keren dan bagus semoga kedepannya lebih bagus lagi hehehehe,game nya sangat keren dan bagus semoga kedepanya lebih bagus lagi hehehehe,game nya sangat keren dan bagus semoga kedepannya lebih bagus lagi hahaha,"['game', 'nya', 'sangat', 'keren', 'dan', 'bagus', 'semoga', 'kedepannya', 'lebih', 'bagus', 'lagi', 'hahaha']","['game', 'sangat', 'keren', 'bagus', 'semoga', 'kedepannya', 'lebih', 'bagus', 'hahaha']","['game', 'sangat', 'keren', 'bagus', 'moga', 'depan', 'lebih', 'bagus', 'hahaha']",1.0
113,aku suka banget,aku suka banget,aku suka banget,aku suka banget,aku suka banget,"['aku', 'suka', 'banget']","['suka', 'banget']","['suka', 'banget']",1.0
115,banyak hadiah,banyak hadiah,banyak hadiah,banyak hadiah,banyak hadiah,"['banyak', 'hadiah']","['banyak', 'hadiah']","['banyak', 'hadiah']",1.0
116,mantap,mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],1.0
117,Game grafik cakep Permainan mudah di mengerti Event nya ga logis banget sangat sangat menawan + jarang ada player toxic Nice game dev,game grafik cakep permainan mudah di mengerti event nya ga logis banget sangat sangat menawan + jarang ada player toxic nice game dev,game grafik cakep permainan mudah di mengerti event nya ga logis banget sangat sangat menawan  jarang ada player toxic nice game dev,game grafik cakep permainan mudah di mengerti event nya ga logis banget sangat sangat menawan jarang ada player toxic nice game dev,game grafik cakep permainan mudah di mengerti event nya tidak logis banget sangat sangat menawan jarang ada player toxic bagus game developer,"['game', 'grafik', 'cakep', 'permainan', 'mudah', 'di', 'mengerti', 'event', 'nya', 'tidak', 'logis', 'banget', 'sangat', 'sangat', 'menawan', 'jarang', 'ada', 'player', 'toxic', 'bagus', 'game', 'developer']","['game', 'grafik', 'cakep', 'permainan', 'mudah', 'mengerti', 'event', 'tidak', 'logis', 'banget', 'sangat', 'sangat', 'menawan', 'jarang', 'player', 'toxic', 'bagus', 'game', 'developer']","['game', 'grafik', 'cakep', 'main', 'mudah', 'erti', 'event', 'tidak', 'logis', 'banget', 'sangat', 'sangat', 'tawan', 'jarang', 'player', 'toxic', 'bagus', 'game', 'developer']",1.0
118,ok,ok,ok,ok,oke,['oke'],['oke'],['oke'],1.0
119,Game sangat bagus ngk kyk game moba,game sangat bagus ngk kyk game moba,game sangat bagus ngk kyk game moba,game sangat bagus ngk kyk game moba,game sangat bagus tidak seperti game moba,"['game', 'sangat', 'bagus', 'tidak', 'seperti', 'game', 'moba']","['game', 'sangat', 'bagus', 'tidak', 'game', 'moba']","['game', 'sangat', 'bagus', 'tidak', 'game', 'moba']",1.0
120,sangat bagus dan membuatku semakin bersemqngat,sangat bagus dan membuatku semakin bersemqngat,sangat bagus dan membuatku semakin bersemqngat,sangat bagus dan membuatku semakin bersemqngat,sangat bagus dan membuatku semakin bersemangat,"['sangat', 'bagus', 'dan', 'membuatku', 'semakin', 'bersemangat']","['sangat', 'bagus', 'membuatku', 'bersemangat']","['sangat', 'bagus', 'buat', 'semangat']",1.0
121,game ini lebih baik daripada game mlbb,game ini lebih baik daripada game mlbb,game ini lebih baik daripada game mlbb,game ini lebih baik daripada game mlb,game ini lebih baik daripada game mlbb,"['game', 'ini', 'lebih', 'baik', 'daripada', 'game', 'mlbb']","['game', 'lebih', 'baik', 'game', 'mlbb']","['game', 'lebih', 'baik', 'game', 'mlbb']",1.0
122,iklan nya pantekkkkk,iklan nya pantekkkkk,iklan nya pantekkkkk,iklan nya pantek,iklan nya pantek,"['iklan', 'nya', 'pantek']","['iklan', 'pantek']","['iklan', 'pantek']",2.0
123,Tolong didengar ya mending ban aja kalo ada yang feeder karena meresahkan ilang bintang dikira gampang naik main solo tanpa temen,tolong didengar ya mending ban aja kalo ada yang feeder karena meresahkan ilang bintang dikira gampang naik main solo tanpa temen,tolong didengar ya mending ban aja kalo ada yang feeder karena meresahkan ilang bintang dikira gampang naik main solo tanpa temen,tolong didengar ya mending ban aja kalo ada yang feder karena meresahkan ilang bintang dikira gampang naik main solo tanpa temen,tolong didengar ya mending ban saja kalau ada yang feeder karena meresahkan hilang bintang dikira gampang naik main solo tanpa temen,"['tolong', 'didengar', 'ya', 'mending', 'ban', 'saja', 'kalau', 'ada', 'yang', 'feeder', 'karena', 'meresahkan', 'hilang', 'bintang', 'dikira', 'gampang', 'naik', 'main', 'solo', 'tanpa', 'temen']","['tolong', 'didengar', 'ya', 'mending', 'ban', 'feeder', 'meresahkan', 'hilang', 'bintang', 'gampang', 'naik', 'main', 'solo', 'temen']","['tolong', 'dengar', 'ya', 'mending', 'ban', 'feeder', 'resah', 'hilang', 'bintang', 'gampang', 'naik', 'main', 'solo', 'temen']",2.0
125,Game moba terbaik,game moba terbaik,game moba terbaik,game moba terbaik,game moba terbaik,"['game', 'moba', 'terbaik']","['game', 'moba', 'terbaik']","['game', 'moba', 'baik']",1.0
126,Gemenya sangat asek dimainkan. Mantap,gemenya sangat asek dimainkan. mantap,gemenya sangat asek dimainkan mantap,gemenya sangat asek dimainkan mantap,gamenya sangat asik dimainkan mantap,"['gamenya', 'sangat', 'asik', 'dimainkan', 'mantap']","['gamenya', 'sangat', 'asik', 'dimainkan', 'mantap']","['gamenya', 'sangat', 'asik', 'main', 'mantap']",1.0
127,mantap gamenya,mantap gamenya,mantap gamenya,mantap gamenya,mantap gamenya,"['mantap', 'gamenya']","['mantap', 'gamenya']","['mantap', 'gamenya']",1.0
128,lebih banyak kasih event skin gratis lagi yak.,lebih banyak kasih event skin gratis lagi yak.,lebih banyak kasih event skin gratis lagi yak,lebih banyak kasih event skin gratis lagi yak,lebih banyak kasih event skin gratis lagi yak,"['lebih', 'banyak', 'kasih', 'event', 'skin', 'gratis', 'lagi', 'yak']","['lebih', 'banyak', 'kasih', 'event', 'skin', 'gratis', 'yak']","['lebih', 'banyak', 'kasih', 'event', 'skin', 'gratis', 'yak']",1.0
130,keren,keren,keren,keren,keren,['keren'],['keren'],['keren'],1.0
131,Ini tolong bug nya di perbaiki kadang² pas saya lagi main itu tiba² ngelek tanpa sebab dan tidak bisa di main kan lagi terpaksa saya login ulang dan saya mohon itu foto profil cuma bisa sekali pake apa? Tolong di perbarui,ini tolong bug nya di perbaiki kadang² pas saya lagi main itu tiba² ngelek tanpa sebab dan tidak bisa di main kan lagi terpaksa saya login ulang dan saya mohon itu foto profil cuma bisa sekali pake apa? tolong di perbarui,ini tolong bug nya di perbaiki kadang pas saya lagi main itu tiba ngelek tanpa sebab dan tidak bisa di main kan lagi terpaksa saya login ulang dan saya mohon itu foto profil cuma bisa sekali pake apa tolong di perbarui,ini tolong bug nya di perbaiki kadang pas saya lagi main itu tiba ngelek tanpa sebab dan tidak bisa di main kan lagi terpaksa saya login ulang dan saya mohon itu foto profil cuma bisa sekali pake apa tolong di perbarui,ini tolong bug nya di perbaiki kadang pas saya lagi main itu tiba ngelag tanpa sebab dan tidak bisa di main kan lagi terpaksa saya login ulang dan saya mohon itu foto profil cuma bisa sekali pake apa tolong di perbarui,"['ini', 'tolong', 'bug', 'nya', 'di', 'perbaiki', 'kadang', 'pas', 'saya', 'lagi', 'main', 'itu', 'tiba', 'ngelag', 'tanpa', 'sebab', 'dan', 'tidak', 'bisa', 'di', 'main', 'kan', 'lagi', 'terpaksa', 'saya', 'login', 'ulang', 'dan', 'saya', 'mohon', 'itu', 'foto', 'profil', 'cuma', 'bisa', 'sekali', 'pake', 'apa', 'tolong', 'di', 'perbarui']","['tolong', 'bug', 'perbaiki', 'kadang', 'pas', 'main', 'ngelag', 'tidak', 'bisa', 'main', 'terpaksa', 'login', 'ulang', 'mohon', 'foto', 'profil', 'bisa', 'sekali', 'pake', 'tolong', 'perbarui']","['tolong', 'bug', 'baik', 'kadang', 'pas', 'main', 'ngelag', 'tidak', 'bisa', 'main', 'paksa', 'login', 'ulang', 'mohon', 'foto', 'profil', 'bisa', 'sekali', 'pake', 'tolong', 'baru']",2.0
132,GAME SERU,game seru,game seru,game seru,game seru,"['game', 'seru']","['game', 'seru']","['game', 'seru']",1.0
134,ok,ok,ok,ok,oke,['oke'],['oke'],['oke'],1.0
135,Asli game ini sangat sangat seru,asli game ini sangat sangat seru,asli game ini sangat sangat seru,asli game ini sangat sangat seru,asli game ini sangat sangat seru,"['asli', 'game', 'ini', 'sangat', 'sangat', 'seru']","['asli', 'game', 'sangat', 'sangat', 'seru']","['asli', 'game', 'sangat', 'sangat', 'seru']",1.0
136,keren,keren,keren,keren,keren,['keren'],['keren'],['keren'],1.0
138,Ngfrane pas mau foloww teman padahal digame lain GK ngeframe,ngfrane pas mau foloww teman padahal digame lain gk ngeframe,ngfrane pas mau foloww teman padahal digame lain gk ngeframe,ngfrane pas mau folow teman padahal digame lain gk ngeframe,ngeframe pas mau ikut teman padahal digame lain tidak ngeframe,"['ngeframe', 'pas', 'mau', 'ikut', 'teman', 'padahal', 'digame', 'lain', 'tidak', 'ngeframe']","['ngeframe', 'pas', 'teman', 'digame', 'tidak', 'ngeframe']","['ngeframe', 'pas', 'teman', 'digame', 'tidak', 'ngeframe']",2.0
139,Sangat good,sangat good,sangat good,sangat god,sangat bagus,"['sangat', 'bagus']","['sangat', 'bagus']","['sangat', 'bagus']",1.0
140,mantap,mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],1.0
142,sejauh ini masih OK aku suka game nya,sejauh ini masih ok aku suka game nya,sejauh ini masih ok aku suka game nya,sejauh ini masih ok aku suka game nya,sejauh ini masih oke aku suka game nya,"['sejauh', 'ini', 'masih', 'oke', 'aku', 'suka', 'game', 'nya']","['oke', 'suka', 'game']","['oke', 'suka', 'game']",1.0
143,Mantul banget ni moba,mantul banget ni moba,mantul banget ni moba,mantul banget ni moba,mantap betul banget ini moba,"['mantap', 'betul', 'banget', 'ini', 'moba']","['mantap', 'banget', 'moba']","['mantap', 'banget', 'moba']",1.0
144,sangat bagus,sangat bagus,sangat bagus,sangat bagus,sangat bagus,"['sangat', 'bagus']","['sangat', 'bagus']","['sangat', 'bagus']",1.0
145,lebih seru ini dari pada ml,lebih seru ini dari pada ml,lebih seru ini dari pada ml,lebih seru ini dari pada ml,lebih seru ini dari pada ml,"['lebih', 'seru', 'ini', 'dari', 'pada', 'ml']","['lebih', 'seru', 'ml']","['lebih', 'seru', 'ml']",1.0
146,gil NIH GAME KERENN COY,gil nih game kerenn coy,gil nih game kerenn coy,gil nih game keren coy,gila ini game keren coy,"['gila', 'ini', 'game', 'keren', 'coy']","['gila', 'game', 'keren', 'coy']","['gila', 'game', 'keren', 'coy']",1.0
148,Game nya kerenn byk event dan skin gratis mantap,game nya kerenn byk event dan skin gratis mantap,game nya kerenn byk event dan skin gratis mantap,game nya keren byk event dan skin gratis mantap,game nya keren banyak event dan skin gratis mantap,"['game', 'nya', 'keren', 'banyak', 'event', 'dan', 'skin', 'gratis', 'mantap']","['game', 'keren', 'banyak', 'event', 'skin', 'gratis', 'mantap']","['game', 'keren', 'banyak', 'event', 'skin', 'gratis', 'mantap']",1.0
149,"Event nya gacor semua, gak ada yang gagal, good job","event nya gacor semua, gak ada yang gagal, good job",event nya gacor semua gak ada yang gagal good job,event nya gacor semua gak ada yang gagal god job,event nya keren semua tidak ada yang gagal bagus job,"['event', 'nya', 'keren', 'semua', 'tidak', 'ada', 'yang', 'gagal', 'bagus', 'job']","['event', 'keren', 'semua', 'tidak', 'gagal', 'bagus', 'job']","['event', 'keren', 'semua', 'tidak', 'gagal', 'bagus', 'job']",1.0
151,GEMNYA GAMPANG BUAT PLAYER PEMULA,gemnya gampang buat player pemula,gemnya gampang buat player pemula,gemnya gampang buat player pemula,gamenya gampang buat player pemula,"['gamenya', 'gampang', 'buat', 'player', 'pemula']","['gamenya', 'gampang', 'buat', 'player', 'pemula']","['gamenya', 'gampang', 'buat', 'player', 'mula']",1.0
152,Jangan pada instal nih game gua udah di platinum kalah mulu 10 kali berturut2 dapat tim dar sistem yang lebih parah diband8ngkan dark sistemnya ML nih game sumpah bikin stres ajg,jangan pada instal nih game gua udah di platinum kalah mulu 10 kali berturut2 dapat tim dar sistem yang lebih parah diband8ngkan dark sistemnya ml nih game sumpah bikin stres ajg,jangan pada instal nih game gua udah di platinum kalah mulu  kali berturut dapat tim dar sistem yang lebih parah dibandngkan dark sistemnya ml nih game sumpah bikin stres ajg,jangan pada instal nih game gua udah di platinum kalah mulu kali berturut dapat tim dar sistem yang lebih parah dibandngkan dark sistemnya ml nih game sumpah bikin stres ajg,jangan pada instal ini game gua udah di platinum kalah mulu kali berturut dapat tim dark system yang lebih parah dibandngkan dark system nya ml ini game sumpah membuat stres anjing,"['jangan', 'pada', 'instal', 'ini', 'game', 'gua', 'udah', 'di', 'platinum', 'kalah', 'mulu', 'kali', 'berturut', 'dapat', 'tim', 'dark', 'system', 'yang', 'lebih', 'parah', 'dibandngkan', 'dark', 'system', 'nya', 'ml', 'ini', 'game', 'sumpah', 'membuat', 'stres', 'anjing']","['jangan', 'instal', 'game', 'udah', 'platinum', 'kalah', 'mulu', 'kali', 'tim', 'dark', 'system', 'lebih', 'parah', 'dibandngkan', 'dark', 'system', 'ml', 'game', 'sumpah', 'stres', 'anjing']","['jangan', 'instal', 'game', 'udah', 'platinum', 'kalah', 'mulu', 'kali', 'tim', 'dark', 'system', 'lebih', 'parah', 'dibandngkan', 'dark', 'system', 'ml', 'game', 'sumpah', 'stres', 'anjing']",2.0
153,GAME PLAGIATT HAHAHA!!!,game plagiatt hahaha!!!,game plagiatt hahaha,game plagiat hahaha,game plagiat hahaha,"['game', 'plagiat', 'hahaha']","['game', 'plagiat', 'hahaha']","['game', 'plagiat', 'hahaha']",2.0
154,Game ini seru dan menarik bagus aku kasih bintang lima,game ini seru dan menarik bagus aku kasih bintang lima,game ini seru dan menarik bagus aku kasih bintang lima,game ini seru dan menarik bagus aku kasih bintang lima,game ini seru dan menarik bagus aku kasih bintang lima,"['game', 'ini', 'seru', 'dan', 'menarik', 'bagus', 'aku', 'kasih', 'bintang', 'lima']","['game', 'seru', 'menarik', 'bagus', 'kasih', 'bintang']","['game', 'seru', 'tarik', 'bagus', 'kasih', 'bintang']",1.0
155,"Ga ada lawan, mantepp","ga ada lawan, mantepp",ga ada lawan mantepp,ga ada lawan mantep,tidak ada lawan mantap,"['tidak', 'ada', 'lawan', 'mantap']","['tidak', 'lawan', 'mantap']","['tidak', 'lawan', 'mantap']",1.0
156,Mantaplah mayan,mantaplah mayan,mantaplah mayan,mantaplah mayan,mantaplah mayan,"['mantaplah', 'mayan']","['mantaplah', 'mayan']","['mantap', 'mayan']",1.0
158,bagus banget😘,bagus banget😘,bagus banget,bagus banget,bagus banget,"['bagus', 'banget']","['bagus', 'banget']","['bagus', 'banget']",1.0
160,keren,keren,keren,keren,keren,['keren'],['keren'],['keren'],1.0
161,semoga sukses untung game ini,semoga sukses untung game ini,semoga sukses untung game ini,semoga sukses untung game ini,semoga sukses untung game ini,"['semoga', 'sukses', 'untung', 'game', 'ini']","['semoga', 'sukses', 'untung', 'game']","['moga', 'sukses', 'untung', 'game']",1.0
162,Kasih 5 bintang langsung soalnya udah bagus semoga kedepannya jadi makin yang terdepan,kasih 5 bintang langsung soalnya udah bagus semoga kedepannya jadi makin yang terdepan,kasih  bintang langsung soalnya udah bagus semoga kedepannya jadi makin yang terdepan,kasih bintang langsung soalnya udah bagus semoga kedepanya jadi makin yang terdepan,kasih bintang langsung soalnya udah bagus semoga kedepannya jadi makin yang terdepan,"['kasih', 'bintang', 'langsung', 'soalnya', 'udah', 'bagus', 'semoga', 'kedepannya', 'jadi', 'makin', 'yang', 'terdepan']","['kasih', 'bintang', 'langsung', 'udah', 'bagus', 'semoga', 'kedepannya', 'terdepan']","['kasih', 'bintang', 'langsung', 'udah', 'bagus', 'moga', 'depan', 'depan']",1.0
163,"Game gak pelit, keren deh pokoknya","game gak pelit, keren deh pokoknya",game gak pelit keren deh pokoknya,game gak pelit keren deh pokoknya,game tidak pelit keren dah pokoknya,"['game', 'tidak', 'pelit', 'keren', 'dah', 'pokoknya']","['game', 'tidak', 'pelit', 'keren', 'dah', 'pokoknya']","['game', 'tidak', 'pelit', 'keren', 'dah', 'pokok']",1.0
164,mantap,mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],1.0
166,bagus cuy,bagus cuy,bagus cuy,bagus cuy,bagus cuy,"['bagus', 'cuy']","['bagus', 'cuy']","['bagus', 'cuy']",1.0
168,oklah nyaman lagi game ny,oklah nyaman lagi game ny,oklah nyaman lagi game ny,oklah nyaman lagi game ny,oke lah nyaman lagi game nya,"['oke', 'lah', 'nyaman', 'lagi', 'game', 'nya']","['oke', 'nyaman', 'game']","['oke', 'nyaman', 'game']",1.0
169,"Mulai dah pnyakitnya seperti game2 yg serupa sebelumnya(ML),server penuh gagal login","mulai dah pnyakitnya seperti game2 yg serupa sebelumnya(ml),server penuh gagal login",mulai dah pnyakitnya seperti game yg serupa sebelumnyamlserver penuh gagal login,mulai dah pnyakitnya seperti game yg serupa sebelumnyamlserver penuh gagal login,mulai dah penyakitnya seperti game yang serupa sebelumnya ml server penuh gagal login,"['mulai', 'dah', 'penyakitnya', 'seperti', 'game', 'yang', 'serupa', 'sebelumnya', 'ml', 'server', 'penuh', 'gagal', 'login']","['mulai', 'dah', 'penyakitnya', 'game', 'ml', 'server', 'penuh', 'gagal', 'login']","['mulai', 'dah', 'sakit', 'game', 'ml', 'server', 'penuh', 'gagal', 'login']",2.0
